"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
344,"SEZL","Sezzle Inc","Financial","Credit Services","USA",2515.35,25.37,73.93,-1.68%,899888
345,"SG","Sweetgreen Inc","Consumer Cyclical","Restaurants","USA",933.87,,7.90,-2.71%,6583225
346,"SGBX","Safe & Green Holdings Corp","Industrials","Metal Fabrication","USA",1.10,,2.28,-3.80%,12544522
347,"SGRY","Surgery Partners Inc","Healthcare","Medical Care Facilities","USA",2728.30,,21.28,1.04%,1028189
348,"SHFS","SHF Holdings Inc","Financial","Banks - Regional","USA",8.54,,2.89,-11.08%,284313
349,"SIG","Signet Jewelers Ltd","Consumer Cyclical","Luxury Goods","Bermuda",4276.70,35.04,104.44,-0.32%,1158040
350,"SION","Sionna Therapeutics Inc","Healthcare","Biotechnology","USA",1717.04,,38.90,-8.47%,580555
351,"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",168.68,,1.33,-0.75%,1172456
352,"SKYE","Skye Bioscience Inc","Healthcare","Biotechnology","USA",44.31,,1.43,-1.38%,793033
353,"SKYQ","Sky Quarry Inc","Energy","Oil & Gas Integrated","USA",9.82,,0.42,-2.93%,737121
354,"SKYT","SkyWater Technology Inc","Technology","Semiconductors","USA",743.35,,15.43,-1.28%,1833402
355,"SLDB","Solid Biosciences Inc","Healthcare","Biotechnology","USA",439.18,,5.64,-6.16%,899625
356,"SLMT","Brera Holdings PLC","Communication Services","Entertainment","Ireland",5.30,,8.35,-13.11%,2472654
357,"SLNO","Soleno Therapeutics Inc","Healthcare","Biotechnology","USA",3555.40,,66.90,-0.34%,777433
358,"SLS","SELLAS Life Sciences Group Inc","Healthcare","Biotechnology","USA",243.90,,1.95,2.09%,5827078
359,"SMCI","Super Micro Computer Inc","Technology","Computer Hardware","USA",31199.35,31.63,52.50,-4.23%,34326246
360,"SMLR","Semler Scientific Inc","Healthcare","Medical Devices","USA",441.43,9.28,22.53,-4.17%,910782
361,"SMMT","Summit Therapeutics Inc","Healthcare","Biotechnology","USA",14229.56,,19.16,2.24%,6114051
362,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",9890.92,,34.72,-9.51%,39024319
363,"SMX","SMX (Security Matters) Plc","Industrials","Specialty Business Services","Ireland",1.15,,0.87,11.01%,8481271
364,"SNBR","Sleep Number Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",151.20,,6.64,0.76%,892796
365,"SNDX","Syndax Pharmaceuticals Inc","Healthcare","Biotechnology","USA",1301.61,,15.11,-0.59%,2545557
366,"SOC","Sable Offshore Corp","Energy","Oil & Gas Drilling","USA",1176.18,,11.82,-4.68%,4599126
367,"SONN","Sonnet BioTherapeutics Holdings Inc","Healthcare","Biotechnology","USA",24.78,,3.63,-6.68%,240030
368,"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",7240.51,,17.76,-2.58%,43563795
369,"SOWG","Sow Good Inc","Consumer Defensive","Confectioners","USA",11.37,,0.93,10.85%,2768926
370,"SPCE","Virgin Galactic Holdings Inc","Industrials","Aerospace & Defense","USA",214.24,,3.72,-5.58%,5203478
371,"SPHR","Sphere Entertainment Co","Communication Services","Entertainment","USA",2320.16,,64.45,-1.26%,1283316
372,"SPRY","ARS Pharmaceuticals Inc","Healthcare","Biotechnology","USA",960.59,,9.72,-1.82%,1170311
373,"SPWR","SunPower Inc","Technology","Solar","USA",157.08,,1.89,-5.50%,3670187
374,"SQNS","Sequans Communications S.A ADR","Technology","Semiconductors","France",18.56,,7.28,-4.84%,239602
375,"SRPT","Sarepta Therapeutics Inc","Healthcare","Biotechnology","USA",2195.62,,22.47,-3.77%,3707731
376,"SRRK","Scholar Rock Holding Corp","Healthcare","Biotechnology","USA",2741.55,,28.52,1.24%,3043552
377,"STFS","Star Fashion Culture Holdings Ltd","Communication Services","Advertising Agencies","China",2.74,27.69,0.20,-1.70%,5717821
378,"STI","Solidion Technology Inc","Industrials","Electrical Equipment & Parts","USA",29.60,,10.67,-23.40%,640354
379,"STOK","Stoke Therapeutics Inc","Healthcare","Biotechnology","USA",1782.01,38.49,32.52,-6.23%,1167301
380,"SVCO","Silvaco Group Inc","Technology","Software - Application","USA",175.91,,5.79,-3.50%,130185
381,"SVRA","Savara Inc","Healthcare","Biotechnology","USA",710.36,,4.11,-2.84%,1829910
382,"SVV","Savers Value Village Inc","Consumer Cyclical","Specialty Retail","USA",2017.56,63.05,12.97,1.57%,838671
383,"SYM","Symbotic Inc","Industrials","Specialty Industrial Machinery","USA",38051.39,,64.44,-7.80%,2045454
384,"SYRE","Spyre Therapeutics Inc","Healthcare","Biotechnology","USA",1721.17,,22.21,-4.47%,906704
385,"TAOX","TAO Synergies Inc","Technology","Software - Infrastructure","USA",27.36,,7.84,-5.14%,512982
386,"TARS","Tarsus Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2900.11,,68.70,-2.99%,767556
387,"TBCH","Turtle Beach Corp","Technology","Consumer Electronics","USA",319.08,17.19,16.11,-0.43%,165752
388,"TBHC","Brand House Collective Inc","Consumer Cyclical","Home Improvement Retail","USA",36.83,,1.64,4.46%,487491
389,"TDUP","ThredUp Inc","Consumer Cyclical","Internet Retail","USA",1105.98,,8.98,0.00%,1239433
390,"TECX","Tectonic Therapeutic Inc","Healthcare","Biotechnology","USA",331.20,,17.70,-6.79%,457744
391,"TEM","Tempus AI Inc","Healthcare","Health Information Services","USA",14813.74,,85.27,-4.30%,8141416
392,"TGTX","TG Therapeutics Inc","Healthcare","Biotechnology","USA",5488.24,92.44,34.59,-1.79%,1037937
393,"TIL","Instil Bio Inc","Healthcare","Biotechnology","USA",124.95,,18.51,-2.58%,61070
394,"TKNO","Alpha Teknova Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",297.01,,5.55,-1.25%,182817
395,"TMC","TMC the metals company Inc","Basic Materials","Other Industrial Metals & Mining","Canada",2950.41,,7.26,-7.04%,13034521
396,"TMDX","Transmedics Group Inc","Healthcare","Medical Devices","USA",4075.16,61.82,119.54,-0.49%,897568
397,"TNGX","Tango Therapeutics Inc","Healthcare","Biotechnology","USA",963.51,,8.66,-3.67%,1583879
398,"TNXP","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology","USA",165.50,,18.88,-4.16%,715242
399,"TR","Tootsie Roll Industries, Inc","Consumer Defensive","Confectioners","USA",3363.20,34.20,42.49,1.75%,178285
400,"TRIP","TripAdvisor Inc","Consumer Cyclical","Travel Services","USA",1908.07,34.53,16.43,0.49%,2290540
401,"TRUP","Trupanion Inc","Financial","Insurance - Property & Casualty","USA",1875.86,171.17,43.63,-0.89%,340831
402,"TRVI","Trevi Therapeutics Inc","Healthcare","Biotechnology","USA",1326.15,,10.89,2.25%,1544619
403,"TSHA","Taysha Gene Therapies Inc","Healthcare","Biotechnology","USA",1347.60,,4.94,-4.08%,2784621
404,"TSSI","TSS Inc","Technology","Information Technology Services","USA",460.35,45.63,16.23,-5.58%,1649355
405,"TTEC","TTEC Holdings Inc","Technology","Information Technology Services","USA",171.07,,3.53,-3.29%,189343
406,"TWST","Twist Bioscience Corp","Healthcare","Diagnostics & Research","USA",1874.81,,31.06,-6.98%,2251760
407,"TYRA","Tyra Biosciences Inc","Healthcare","Biotechnology","USA",745.63,,13.99,-4.89%,628054
408,"UA","Under Armour Inc","Consumer Cyclical","Apparel Manufacturing","USA",2023.22,20.12,4.64,0.00%,4410580
409,"UAA","Under Armour Inc","Consumer Cyclical","Apparel Manufacturing","USA",2019.00,20.73,4.78,-0.21%,9421879
410,"UAMY","United States Antimony Corp","Basic Materials","Other Industrial Metals & Mining","USA",1820.69,,13.11,5.81%,27890414
411,"UFG","Uni Fuels Holdings Ltd","Industrials","Marine Shipping","Singapore",22.45,,0.99,-2.83%,166489
412,"UFPT","UFP Technologies Inc","Healthcare","Medical Devices","USA",1593.50,23.96,206.65,2.69%,155454
413,"ULCC","Frontier Group Holdings Inc","Industrials","Airlines","USA",974.23,,4.27,-2.06%,2403356
414,"UPB","Upstream Bio Inc","Healthcare","Biotechnology","USA",1194.10,,22.15,-0.81%,450360
415,"UPST","Upstart Holdings Inc","Financial","Credit Services","USA",4847.45,,50.38,-3.78%,7430834
416,"UPXI","Upexi Inc","Communication Services","Internet Content & Information","USA",279.72,,4.75,-6.68%,3226014
417,"URBN","Urban Outfitters, Inc","Consumer Cyclical","Apparel Retail","USA",6088.70,13.28,67.88,-0.18%,2057506
418,"URGN","UroGen Pharma Ltd","Healthcare","Biotechnology","USA",817.02,,17.66,-2.65%,844835
419,"UWMC","UWM Holdings Corporation","Financial","Mortgage Finance","USA",9164.09,,5.73,1.24%,9829457
420,"VAL","Valaris Ltd","Energy","Oil & Gas Equipment & Services","Bermuda",3525.78,12.89,49.51,2.34%,1140413
421,"VELO","Velo3D Inc","Technology","Computer Hardware","USA",110.15,,5.53,-20.93%,1740003
422,"VERA","Vera Therapeutics Inc","Healthcare","Biotechnology","USA",1910.88,,29.94,-1.29%,654608
423,"VITL","Vital Farms Inc","Consumer Defensive","Farm Products","USA",1710.58,33.94,38.28,0.39%,1222280
424,"VKTX","Viking Therapeutics Inc","Healthcare","Biotechnology","USA",3533.02,,31.42,-4.73%,4293141
425,"VOR","Vor Biopharma Inc","Healthcare","Biotechnology","USA",181.29,,26.50,-4.57%,295793
426,"VSA","VisionSys AI Inc ADR","Consumer Defensive","Education & Training Services","China",109.87,,2.78,-5.44%,70134
427,"VSCO","Victoria's Secret & Co","Consumer Cyclical","Apparel Retail","USA",2492.31,17.40,31.09,-0.89%,1450945
428,"VSTM","Verastem Inc","Healthcare","Biotechnology","USA",483.75,,7.86,-1.63%,2304502
429,"VTLE","Vital Energy Inc","Energy","Oil & Gas E&P","USA",585.09,,15.12,0.67%,439283
430,"VUZI","Vuzix Corporation","Technology","Consumer Electronics","USA",282.34,,3.52,-11.01%,2661365
431,"W","Wayfair Inc","Consumer Cyclical","Internet Retail","USA",10571.26,,81.53,0.77%,2467096
432,"WEST","Westrock Coffee Company","Consumer Defensive","Packaged Foods","USA",475.44,,5.02,-2.52%,370393
433,"WHR","Whirlpool Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",4080.85,,73.01,-2.07%,1292000
434,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",797.17,,29.48,-1.99%,1596785
435,"WOOF","Petco Health and Wellness Co Inc","Consumer Cyclical","Specialty Retail","USA",1034.15,,3.69,-1.60%,1949387
436,"WRAP","Wrap Technologies Inc","Technology","Scientific & Technical Instruments","USA",121.46,,2.39,-7.36%,276368
437,"WT","WisdomTree Inc","Financial","Asset Management","USA",1849.14,32.47,12.57,-1.80%,3563682
438,"WTI","W & T Offshore Inc","Energy","Oil & Gas E&P","USA",311.52,,2.10,-0.47%,1819493
439,"WULF","TeraWulf Inc","Financial","Capital Markets","USA",5146.22,,12.61,-4.00%,41497226
440,"XHG","XChange Tec.Inc. ADR","Financial","Insurance Brokers","China",1.00,,1.00,3.09%,15166
441,"XLO","Xilio Therapeutics Inc","Healthcare","Biotechnology","USA",39.02,,0.75,-0.34%,815175
442,"XOS","Xos Inc","Industrials","Farm & Heavy Construction Machinery","USA",23.99,,2.76,-4.50%,31069
443,"XPOF","Xponential Fitness Inc","Consumer Cyclical","Leisure","USA",338.36,,6.95,-1.00%,278088
444,"XPON","Expion360 Inc","Industrials","Electrical Equipment & Parts","USA",4.83,,1.39,-6.08%,597811
445,"XRX","Xerox Holdings Corp","Technology","Information Technology Services","USA",401.39,,3.19,-0.62%,3273810
446,"XXII","22nd Century Group Inc","Consumer Defensive","Tobacco","USA",5.60,,1.48,-1.99%,336958
447,"YCBD","cbdMD Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",8.92,,1.00,-5.66%,450146
448,"YDES","YD Bio Ltd","Healthcare","Biotechnology","Taiwan",58.04,,17.51,-5.50%,19772
449,"YHC","LQR House Inc","Consumer Defensive","Beverages - Wineries & Distilleries","USA",10.18,,0.98,15.17%,1077214
450,"YOU","Clear Secure Inc","Technology","Software - Application","USA",4322.74,17.42,32.52,1.09%,1376220
451,"YYAI","AiRWA Inc","Technology","Software - Infrastructure","USA",2.76,,0.19,133.75%,2473704807
452,"ZBIO","Zenas Biopharma Inc","Healthcare","Biotechnology","USA",1026.23,,24.37,-6.38%,211726
453,"ZIM","Zim Integrated Shipping Services Ltd","Industrials","Marine Shipping","Israel",1679.18,0.84,13.94,2.20%,3618267
454,"ZOOZ","Zooz Power Ltd","Consumer Cyclical","Specialty Retail","Israel",19.37,,1.55,-4.91%,276188
455,"ZVRA","Zevra Therapeutics Inc","Healthcare","Biotechnology","USA",604.01,,10.76,-3.06%,1113245
456,"ZYXI","Zynex Inc","Healthcare","Medical Distribution","USA",40.60,,1.34,-5.63%,87376
